,accommodates,bathrooms,bedrooms,beds,city,latitude,longitude,metropolitan,property_type,zipcode_clean,id,listing_id,price
4248,2.0,1.0,1.0,1.0,long island city,40.76433893587029,-73.92132105148107,NYC,Apartment,11102,115748,115748,117.03746532096879
4594,7.0,1.0,2.0,4.0,queens,40.769173787024826,-73.93492443890055,NYC,Apartment,11102,17997282,17997282,168.627425171958
4849,6.0,1.0,2.0,4.0,astoria,40.76564483789939,-73.92327445451771,NYC,Apartment,11102,3878621,3878621,163.44733541041876
5195,4.0,1.0,1.0,3.0,astoria,40.76402958588533,-73.92162301212328,NYC,Apartment,11102,3768977,3768977,134.66504439765208
5515,2.0,1.0,1.0,1.0,astoria,40.775719141868,-73.93106798796677,NYC,Apartment,11102,14092055,14092055,117.03746532096879
5520,3.0,1.0,1.0,1.0,astoria,40.772520643488356,-73.92472187413355,NYC,Apartment,11102,11473810,11473810,127.04765571560557
5857,4.0,1.0,1.0,1.0,long island city,40.77634987514943,-73.93426094888281,NYC,Apartment,11102,74680,74680,134.66504439765208
6155,2.0,1.0,1.0,1.0,astoria,40.767450529932425,-73.93021608811974,NYC,Apartment,11102,6170252,6170252,117.03746532096879
6244,2.0,1.0,1.0,1.0,queens,40.767947341504176,-73.92950173041082,NYC,Apartment,11102,16855309,16855309,117.03746532096879
6512,2.0,1.0,1.0,1.0,queens,40.76833109910042,-73.92354723269541,NYC,Apartment,11102,482969,482969,117.03746532096879
6845,6.0,1.5,2.0,3.0,queens,40.76985345624564,-73.92481152781488,NYC,House,11102,13675413,13675413,191.27370759390223
7150,2.0,1.0,1.0,1.0,queens,40.766225061667534,-73.92703420390485,NYC,Apartment,11102,472141,472141,117.03746532096879
7515,4.0,1.0,2.0,2.0,queens,40.76423340343856,-73.9243366962633,NYC,Apartment,11102,9593737,9593737,150.56918399755975
7880,9.0,2.0,2.0,5.0,queens,40.76923059749283,-73.91675095755038,NYC,Apartment,11102,11778074,11778074,212.57327810155599
7924,6.0,1.0,1.0,3.0,queens,40.772834581910686,-73.92366664034307,NYC,Apartment,11102,13127985,13127985,146.1829180138128
8251,4.0,2.0,2.0,2.0,new york,40.77310807213019,-73.92918827733737,NYC,Apartment,11102,18430507,18430507,180.39528142506296
8340,2.0,1.0,1.0,1.0,astoria,40.770017839734784,-73.9149761553798,NYC,Apartment,11102,4538274,4538274,117.03746532096879
8430,2.0,1.0,1.0,1.0,queens,40.774530775477416,-73.92833318643079,NYC,Apartment,11102,1921859,1921859,117.03746532096879
8766,2.0,1.0,1.0,1.0,queens,40.764465011860665,-73.9255863055172,NYC,Apartment,11102,15956544,15956544,117.03746532096879
8869,4.0,1.0,1.0,1.0,astoria,40.76951227042771,-73.93077334980877,NYC,Apartment,11102,10191601,10191601,134.66504439765208
8883,3.0,1.0,0.0,2.0,queens,40.768327414120066,-73.919297168563,NYC,Apartment,11102,15390431,15390431,113.62801964734633
8933,4.0,1.0,1.0,2.0,queens,40.765873428847534,-73.92156611608668,NYC,Apartment,11102,4557206,4557206,134.66504439765208
8937,2.0,1.0,1.0,1.0,queens,40.77029246384826,-73.9249328642716,NYC,Apartment,11102,4885595,4885595,117.03746532096879
9212,2.0,1.0,0.0,1.0,queens,40.77096817137005,-73.92683008480978,NYC,Apartment,11102,4573354,4573354,104.6751735328017
9345,3.0,1.0,1.0,1.0,queens,40.768017840396716,-73.9181482227361,NYC,Apartment,11102,14982260,14982260,127.04765571560557
9576,11.0,1.0,2.0,5.0,astoria,40.76631341330943,-73.92691868960516,NYC,House,11102,7827817,7827817,197.55686040668002
9910,3.0,1.0,1.0,2.0,queens,40.769634655948884,-73.93041120108063,NYC,Apartment,11102,13911835,13911835,127.04765571560557
9944,2.0,1.0,1.0,1.0,astoria,40.7679989922351,-73.92428526307282,NYC,Apartment,11102,8111321,8111321,117.03746532096879
10135,2.0,1.0,1.0,1.0,astoria,40.76484858662009,-73.922573596683,NYC,Apartment,11102,12307040,12307040,117.03746532096879
10206,2.0,1.0,1.0,1.0,queens,40.76660465475996,-73.92078670422244,NYC,Apartment,11102,6477272,6477272,117.03746532096879
10564,2.0,1.0,0.0,1.0,queens,40.7679440414466,-73.93568933360325,NYC,Apartment,11102,18473199,18473199,104.6751735328017
10831,4.0,1.0,1.0,2.0,long island city,40.76986828543751,-73.92732893394336,NYC,Apartment,11102,18076941,18076941,134.66504439765208
10858,3.0,1.0,1.0,2.0,queens,40.77112905138225,-73.92592196564851,NYC,Apartment,11102,15484896,15484896,127.04765571560557
10983,2.0,1.0,0.0,1.0,queens,40.76781406676353,-73.92684448151586,NYC,Apartment,11102,1427401,1427401,104.6751735328017
11298,4.0,1.0,1.0,2.0,queens,40.76411005343343,-73.92446738327746,NYC,Apartment,11102,4476998,4476998,134.66504439765208
11859,8.0,1.0,2.0,4.0,queens,40.7739824313193,-73.92615530627491,NYC,Apartment,11102,15595462,15595462,173.24713750714528
12178,2.0,1.0,0.0,1.0,astoria,40.76733194553175,-73.92324583028824,NYC,Apartment,11102,12176874,12176874,104.6751735328017
12241,2.0,1.0,1.0,1.0,new york,40.76412414334896,-73.92211304452779,NYC,Apartment,11102,9548931,9548931,117.03746532096879
12394,6.0,1.0,2.0,2.0,queens,40.77181713889276,-73.93129497294164,NYC,Apartment,11102,2863530,2863530,163.44733541041876
12629,1.0,1.0,0.0,1.0,astoria,40.766153533496855,-73.92413471242381,NYC,Apartment,11102,12824752,12824752,90.97325179751894
12970,5.0,1.0,1.0,2.0,astoria,40.77117658907317,-73.92857371640551,NYC,Apartment,11102,13980048,13980048,140.88668421040234
13318,5.0,1.0,1.0,3.0,queens,40.769648904129184,-73.91831124937774,NYC,Apartment,11102,11774332,11774332,140.88668421040234
13421,12.0,1.0,2.0,2.0,queens,40.767292560907116,-73.92716289554423,NYC,Apartment,11102,12055994,12055994,188.06492963051616
13729,2.0,1.0,0.0,1.0,astoria,40.77540586513089,-73.92888656777053,NYC,Apartment,11102,5858572,5858572,104.6751735328017
13792,2.0,1.0,1.0,1.0,queens,40.76469690076289,-73.92378819932183,NYC,Apartment,11102,13544682,13544682,117.03746532096879
13802,7.0,1.0,2.0,4.0,queens,40.77476849588616,-73.92560786667755,NYC,Apartment,11102,16389471,16389471,168.627425171958
14141,3.0,1.0,1.0,2.0,queens,40.767417881301725,-73.92499055289645,NYC,Apartment,11102,1314012,1314012,127.04765571560557
14282,2.0,1.0,1.0,2.0,queens,40.77203987058558,-73.93344395096308,NYC,House,11102,15862199,15862199,125.12895008966012
14346,4.0,1.0,1.0,3.0,queens,40.776179332710036,-73.91130275509798,NYC,Apartment,11105,16679726,16679726,123.23403105738096
14688,6.0,1.0,2.0,5.0,astoria,40.780801631047524,-73.9102462884073,NYC,Apartment,11105,11301089,11301089,149.57314348581534
15050,8.0,1.0,2.0,4.0,queens,40.77862302125116,-73.92148911127435,NYC,Apartment,11105,14855080,14855080,158.54109148855065
15366,4.0,1.0,1.0,1.0,queens,40.77480758690628,-73.91260512079221,NYC,Apartment,11105,15641528,15641528,123.23403105738096
15708,6.0,1.0,2.0,2.0,queens,40.777434084288494,-73.90893382638332,NYC,Apartment,11105,16231738,16231738,149.57314348581534
16033,4.0,1.0,2.0,2.0,astoria,40.77296895279653,-73.916037916329,NYC,Apartment,11105,2836845,2836845,137.78815118679233
16293,3.0,1.0,1.0,2.0,astoria,40.77205773499124,-73.91124449204551,NYC,Apartment,11105,4767748,4767748,116.26324277584658
16523,6.0,2.5,3.0,1.0,queens,40.78026875914158,-73.90820569304336,NYC,House,11105,771436,771436,234.4775930135249
16888,6.0,1.0,0.0,3.0,queens,40.77728553467656,-73.90930799989646,NYC,Apartment,11105,16536983,16536983,119.64407178340508
16952,4.0,1.0,1.0,2.0,queens,40.77263647990456,-73.90781696232733,NYC,Apartment,11105,12455130,12455130,123.23403105738096
17214,7.0,1.0,2.0,4.0,queens,40.77787192504105,-73.91472297515774,NYC,Apartment,11105,1581579,1581579,154.31352244168255
17489,7.0,1.0,2.0,3.0,queens,40.77587950462839,-73.90781576320656,NYC,House,11105,9452237,9452237,164.98211914288154
17836,2.0,1.0,1.0,1.0,queens,40.779662034517,-73.91696208445094,NYC,Apartment,11105,17447788,17447788,107.10276524063498
17851,6.0,1.0,1.0,4.0,queens,40.77906490658688,-73.91264776085451,NYC,Apartment,11105,1981410,1981410,133.77421244801425
18071,2.0,1.0,1.0,2.0,queens,40.77777552566741,-73.90905118897147,NYC,Apartment,11105,12855808,12855808,107.10276524063498
18390,2.0,1.0,1.0,1.0,queens,40.77444478475218,-73.91100102860143,NYC,Apartment,11105,16015050,16015050,107.10276524063498
18755,4.0,1.0,1.0,1.0,queens,40.776529081861106,-73.90889291959591,NYC,Condominium,11105,17367926,17367926,155.50343662326213
19096,4.0,1.0,0.0,3.0,queens,40.77412269339258,-73.90609628234077,NYC,House,11105,18159825,18159825,117.83717694265563
19238,2.0,1.0,1.0,1.0,astoria,40.78138024128226,-73.91906448196656,NYC,Apartment,11105,6269844,6269844,107.10276524063498
19325,6.0,1.0,2.0,4.0,queens,40.775217013031394,-73.91155116844033,NYC,House,11105,17368490,17368490,159.91401005364182
19650,1.0,1.0,1.0,1.0,queens,40.77606253855895,-73.9171070390277,NYC,Apartment,11105,15404578,15404578,93.08307310704923
19681,5.0,1.0,2.0,3.0,queens,40.77411056200004,-73.90926334767661,NYC,Apartment,11105,17684828,17684828,144.154081194713
19854,8.0,1.0,3.0,5.0,astoria,40.77028064632072,-73.91352417699623,NYC,Apartment,11105,2738965,2738965,177.26502732976294
19945,2.0,1.0,0.0,1.0,queens,40.77627158292512,-73.9096281979396,NYC,Apartment,11105,9351013,9351013,95.7898439329734
20196,7.0,1.0,3.0,4.0,astoria,40.773099989734966,-73.91245981178187,NYC,Apartment,11105,11641041,11641041,172.53817616710614
20313,3.0,1.0,1.0,1.0,queens,40.78390363204286,-73.90065737937637,NYC,Apartment,11105,3354829,3354829,116.26324277584658
20676,7.0,1.0,2.0,5.0,queens,40.78336990954161,-73.91315900323326,NYC,Apartment,11105,17606942,17606942,154.31352244168255
20764,2.0,1.0,1.0,1.0,new york,40.77739919731883,-73.9107885131125,NYC,Apartment,11105,11098211,11098211,107.10276524063498
21128,5.0,1.0,1.0,2.0,queens,40.775688557522656,-73.91275061610678,NYC,Apartment,11105,2051499,2051499,128.92754831229865
21469,3.0,1.0,1.0,1.0,queens,40.77487099834242,-73.91196267170591,NYC,Apartment,11105,14181211,14181211,116.26324277584658
21582,2.0,1.0,1.0,1.0,astoria,40.77581668354732,-73.90891014745814,NYC,Apartment,11105,15949843,15949843,107.10276524063498
21924,12.0,1.0,3.0,5.0,astoria,40.77530359330797,-73.90273200340287,NYC,House,11105,5328633,5328633,205.73003642484474
22151,4.0,1.0,1.0,2.0,queens,40.77535647212608,-73.90781306526308,NYC,Apartment,11105,11624694,11624694,123.23403105738096
22453,3.0,1.0,2.0,2.0,queens,40.77671612849661,-73.9195610693191,NYC,House,11105,7557546,7557546,138.98135547873832
22674,2.0,1.0,0.0,1.0,queens,40.77165365451834,-73.901770644381,NYC,Apartment,11105,8079482,8079482,95.7898439329734
23023,3.0,1.0,1.0,1.0,queens,40.77423451679372,-73.90714958393518,NYC,Apartment,11105,12814991,12814991,116.26324277584658
23034,4.0,2.0,1.0,2.0,astoria,40.77648368887572,-73.91594862767505,NYC,Apartment,11105,4550494,4550494,147.64533567573483
23157,6.0,1.0,3.0,4.0,queens,40.77260223485277,-73.91310216809205,NYC,Apartment,11105,13919842,13919842,167.23795149175177
23503,4.0,1.0,1.0,1.0,queens,40.77420222979092,-73.91095297581224,NYC,House,11105,12607802,12607802,131.75392067179303
23845,5.0,1.0,3.0,5.0,astoria,40.770117390261184,-73.90088003190748,NYC,Apartment,11105,12155998,12155998,161.17888998211586
23897,4.0,1.0,1.0,2.0,queens,40.78268427277576,-73.91834498354748,NYC,House,11105,16465775,16465775,131.75392067179303
24212,2.0,1.0,1.0,1.0,new york,40.776304133671,-73.90651308558508,NYC,Apartment,11105,5466955,5466955,107.10276524063498
24497,4.0,1.0,1.0,2.0,queens,40.77714027219971,-73.90594904096865,NYC,Apartment,11105,15900882,15900882,123.23403105738096
24832,3.0,1.0,0.0,1.0,astoria,40.77507487681459,-73.9171839756445,NYC,Apartment,11105,13991331,13991331,103.98272962997602
25196,6.0,1.0,3.0,3.0,queens,40.777377007479394,-73.92203588029426,NYC,Apartment,11105,8830586,8830586,167.23795149175177
25528,3.0,1.0,1.0,2.0,queens,40.78039349220898,-73.9162467294442,NYC,Apartment,11105,12423371,12423371,116.26324277584658
25583,3.0,1.0,0.0,1.0,queens,40.77891382947571,-73.91503036441419,NYC,Apartment,11105,16159160,16159160,103.98272962997602
25672,8.0,2.0,2.0,6.0,astoria,40.771160670933796,-73.90570879555005,NYC,House,11105,15437290,15437290,203.07843760339205
25854,2.0,1.0,1.0,2.0,astoria,40.77435776682026,-73.90760017642779,NYC,Apartment,11105,15568588,15568588,107.10276524063498
26012,4.0,1.0,1.0,1.0,queens,40.77422270205471,-73.91263023267969,NYC,Apartment,11105,12305625,12305625,123.23403105738096
26227,2.0,1.0,0.0,1.0,queens,40.77676801014883,-73.91059567374562,NYC,House,11105,16426099,16426099,102.41235631440061
26273,2.0,1.0,0.0,1.0,queens,40.78030632186128,-73.91003014419681,NYC,Apartment,11105,14788009,14788009,95.7898439329734
26464,1.0,1.0,1.0,1.0,queens,40.776794416525576,-73.91686688630948,NYC,Apartment,11105,239733,239733,93.08307310704923
26839,3.0,1.0,1.0,1.0,queens,40.78076239078153,-73.9133657544611,NYC,Apartment,11105,14338437,14338437,116.26324277584658
26853,4.0,1.0,1.0,2.0,queens,40.77741802027012,-73.91561387588281,NYC,Apartment,11105,4645841,4645841,123.23403105738096
27016,6.0,2.0,3.0,3.0,astoria,40.77407179504407,-73.9003728178232,NYC,House,11105,13822852,13822852,214.21841856935563
27378,7.0,2.0,2.0,4.0,queens,40.77388749000849,-73.9090541229832,NYC,Apartment,11105,10218475,10218475,184.88133208592836
27613,3.0,1.0,1.0,2.0,queens,40.783039078723725,-73.91782972900124,NYC,House,11105,17624190,17624190,124.30120100998546
27947,6.0,2.0,2.0,4.0,astoria,40.77061301015542,-73.90908699932379,NYC,Apartment,11105,10220418,10220418,179.201936255378
28201,2.0,1.0,1.0,1.0,astoria,40.779028166455866,-73.91070905864079,NYC,Apartment,11105,14021937,14021937,107.10276524063498
28515,6.0,1.0,2.0,2.0,astoria,40.772733466866214,-73.91129999387576,NYC,House,11105,7927466,7927466,159.91401005364182
28852,4.0,1.0,1.0,2.0,astoria,40.77672561184651,-73.91231773674053,NYC,Apartment,11105,9730168,9730168,123.23403105738096
29094,1.0,1.0,2.0,1.0,queens,40.77456001782996,-73.9099740237247,NYC,Apartment,11105,14587187,14587187,104.07632080324747
29452,4.0,1.0,2.0,2.0,queens,40.774965172442286,-73.9142490175843,NYC,Apartment,11105,9182008,9182008,137.78815118679233
29551,7.0,1.0,3.0,5.0,new york,40.770577780169724,-73.91091262931965,NYC,House,11105,8741446,8741446,184.46674981354678
29737,6.0,1.0,1.0,3.0,queens,40.778491561160436,-73.90580931093609,NYC,Apartment,11105,9078187,9078187,133.77421244801425
29981,14.0,3.0,3.0,9.0,queens,40.77227962599761,-73.90572628290754,NYC,House,11105,16814700,16814700,304.6675641451842
30120,3.0,1.0,1.0,1.0,queens,40.775346072725405,-73.90845692262181,NYC,Apartment,11105,6670064,6670064,116.26324277584658
30484,4.0,1.0,1.0,1.0,queens,40.77462344884879,-73.90773895818548,NYC,Condominium,11105,15530531,15530531,155.50343662326213
30826,3.0,1.0,1.0,1.0,astoria,40.77218020689156,-73.91160486774885,NYC,Apartment,11105,16707621,16707621,116.26324277584658
30943,4.0,1.0,2.0,2.0,astoria,40.772404993997114,-73.90474048200707,NYC,Apartment,11105,6611592,6611592,137.78815118679233
30999,5.0,1.0,2.0,5.0,queens,40.768930740674655,-73.90110385828757,NYC,Apartment,11105,10735397,10735397,144.154081194713
31067,2.0,1.0,1.0,1.0,astoria,40.78114759911273,-73.90883098860029,NYC,House,11105,9555648,9555648,114.50740606443155
31334,7.0,1.0,2.0,2.0,queens,40.77720184163647,-73.90897463556766,NYC,House,11105,12630490,12630490,164.98211914288154
31659,3.0,1.0,1.0,2.0,queens,40.77465870471685,-73.90418818386927,NYC,Apartment,11105,1940906,1940906,116.26324277584658
31987,2.0,1.0,0.0,1.0,queens,40.77414228833205,-73.91624600207413,NYC,Apartment,11105,18461891,18461891,95.7898439329734
31990,6.0,1.0,1.0,1.0,queens,40.776049463288295,-73.90773737561045,NYC,Condominium,11105,9825967,9825967,168.80361365076564
32338,4.0,1.0,0.0,2.0,queens,40.773422196948154,-73.90872682975325,NYC,Apartment,11105,12685531,12685531,110.217215920575
32567,4.0,1.0,1.0,2.0,queens,40.772758801803946,-73.90220829960188,NYC,Apartment,11105,3043548,3043548,123.23403105738096
32846,8.0,2.0,3.0,6.0,queens,40.7827439039675,-73.91317926476302,NYC,House,11105,9859181,9859181,227.06229945723945
33122,5.0,1.0,1.0,3.0,queens,40.77685186403161,-73.9092966875858,NYC,Apartment,11105,17134130,17134130,128.92754831229865
33200,10.0,1.5,3.0,6.0,astoria,40.77185001115726,-73.90502390259743,NYC,Apartment,11105,57166,57166,202.9937515174343
33461,4.0,1.0,1.0,2.0,queens,40.78090103569119,-73.91837259385264,NYC,Apartment,11105,15899509,15899509,123.23403105738096
33509,5.0,1.0,1.0,3.0,astoria,40.77804607179847,-73.91520557286537,NYC,Apartment,11105,6168880,6168880,128.92754831229865
33853,4.0,1.0,1.0,3.0,queens,40.77943250315909,-73.91170191394339,NYC,House,11105,14163104,14163104,131.75392067179303
34192,2.0,1.0,1.0,2.0,queens,40.77890458654233,-73.90688292718258,NYC,Apartment,11105,6950074,6950074,107.10276524063498
34193,4.0,1.0,1.0,2.0,queens,40.770117707829726,-73.91134431287752,NYC,House,11105,15336336,15336336,131.75392067179303
34300,6.0,1.5,3.0,3.0,queens,40.76876283532476,-73.9117772560563,NYC,Apartment,11105,11970285,11970285,183.0540650434444
34440,2.0,1.0,1.0,1.0,queens,40.770391129554994,-73.92512885710566,NYC,Apartment,11105,1225060,1225060,107.10276524063498
34682,4.0,1.0,1.0,2.0,long island city,40.78134540082621,-73.90786077937534,NYC,House,11103,13388649,13388649,143.5031118478414
34812,4.0,1.0,1.0,2.0,queens,40.75958493993501,-73.91019654826103,NYC,Apartment,11103,1370600,1370600,134.22345879437466
35168,7.0,1.0,2.0,2.0,queens,40.75532218176808,-73.91603246170244,NYC,Apartment,11103,531091,531091,168.0744721498375
35416,1.0,1.0,1.0,1.0,sunnysidebronx,40.75793320096531,-73.91246739698543,NYC,House,11103,18488573,18488573,108.39303507812697
35729,5.0,1.0,1.0,3.0,queens,40.76104369203916,-73.91237600701187,NYC,Apartment,11103,12626405,12626405,140.42469697593404
36029,4.0,1.0,1.0,1.0,queens,40.76435357970948,-73.92000984447307,NYC,Apartment,11103,16036569,16036569,134.22345879437466
36055,4.0,1.0,0.0,2.0,queens,40.76390765906485,-73.90632984418104,NYC,Apartment,11103,14550279,14550279,120.04586568021656
36409,3.0,1.0,1.0,1.0,queens,40.7599742932201,-73.90925930093712,NYC,Apartment,11103,3605493,3605493,126.63104860018747
36458,4.0,1.0,1.0,2.0,queens,40.76797972047729,-73.91341128994134,NYC,Apartment,11103,265115,265115,134.22345879437466
36728,2.0,1.0,1.0,2.0,queens,40.75600500890036,-73.91729728493421,NYC,Apartment,11103,15489809,15489809,116.65368302645436
36855,9.0,1.0,2.0,4.0,queens,40.76418653783368,-73.90689710814348,NYC,Apartment,11103,6706788,6706788,176.8451445626074
37167,1.0,1.0,1.0,1.0,astoria,40.75989316449638,-73.91342724211545,NYC,Apartment,11103,15999129,15999129,101.38378109063305
37187,5.0,1.0,1.0,2.0,queens,40.758099253900326,-73.91975069563044,NYC,Apartment,11103,14303789,14303789,140.42469697593404
37208,4.0,1.0,2.0,2.0,queens,40.759190749922745,-73.91836342786458,NYC,Apartment,11103,538590,538590,150.07544648573585
37559,2.0,1.0,1.0,1.0,queens,40.76247572140123,-73.91278682823776,NYC,Apartment,11103,9988233,9988233,116.65368302645436
37600,4.0,1.0,2.0,2.0,queens,40.7675088354418,-73.91779570446937,NYC,Apartment,11103,14790101,14790101,150.07544648573585
37752,6.0,1.0,2.0,2.0,queens,40.765756332793664,-73.90719976374488,NYC,Apartment,11103,13308892,13308892,162.9113686305158
37853,2.0,1.0,0.0,1.0,astoria,40.76762092819472,-73.90726982143558,NYC,Apartment,11103,8045552,8045552,104.33192893017001
38056,3.0,1.0,0.0,1.0,queens,40.76738223425279,-73.91943294189481,NYC,Apartment,11103,16362541,16362541,113.25541740428001
38070,4.0,1.0,1.0,1.0,astoria,40.75967609567734,-73.91989042752974,NYC,Apartment,11103,3615796,3615796,134.22345879437466
38363,5.0,1.0,1.0,3.0,queens,40.76212413318553,-73.91164787409251,NYC,Apartment,11103,9164910,9164910,140.42469697593404
38428,2.0,1.0,1.0,1.0,queens,40.76237505622557,-73.91972499328637,NYC,Apartment,11103,12607018,12607018,116.65368302645436
38597,4.0,1.0,1.0,2.0,queens,40.756073558867534,-73.91518580184002,NYC,Apartment,11103,13841711,13841711,134.22345879437466
38609,2.0,1.0,1.0,1.0,queens,40.757618096962254,-73.91404798140226,NYC,Apartment,11103,598729,598729,116.65368302645436
38758,2.0,1.0,1.0,2.0,astoria,40.76421357866696,-73.92137934618795,NYC,Apartment,11103,12738346,12738346,116.65368302645436
38936,4.0,1.0,1.0,2.0,astoria,40.75678723352413,-73.91473703598595,NYC,Apartment,11103,3497765,3497765,134.22345879437466
39272,9.0,1.0,3.0,5.0,astoria,40.75943966496806,-73.92049044089394,NYC,Apartment,11103,6706381,6706381,197.73081596508607
39514,2.0,1.0,,1.0,queens,40.75508028086085,-73.91673053231028,NYC,Apartment,11103,3760029,3760029,
39804,2.0,1.0,0.0,2.0,queens,40.759531803129285,-73.91182433209413,NYC,Apartment,11103,12735986,12735986,104.33192893017001
40147,2.0,1.0,1.0,1.0,new york,40.7650510998665,-73.9240768911575,NYC,Apartment,11103,14912388,14912388,116.65368302645436
40484,3.0,1.0,1.0,1.0,astoria,40.76321620323387,-73.91612044653378,NYC,Apartment,11103,14070967,14070967,126.63104860018747
40794,4.0,1.0,2.0,2.0,long island city,40.75836592845757,-73.91386748104634,NYC,House,11103,7887966,7887966,160.45104019894234
41050,3.0,1.0,1.0,1.0,queens,40.76273398907703,-73.90579089480995,NYC,Apartment,11103,4225569,4225569,126.63104860018747
41342,2.0,1.0,1.0,1.0,astoria,40.759517827190315,-73.91674816530619,NYC,Apartment,11103,4416814,4416814,116.65368302645436
41678,6.0,1.0,2.0,5.0,queens,40.758204946031924,-73.91686503867297,NYC,Apartment,11103,1937761,1937761,162.9113686305158
41861,6.0,1.0,2.0,3.0,astoria,40.76135010994349,-73.91570599957916,NYC,House,11103,1733157,1733157,174.17438474510254
42090,3.0,1.0,1.0,1.0,queens,40.756270214552366,-73.91501371666725,NYC,Apartment,11103,15434742,15434742,126.63104860018747
42140,3.0,1.0,1.0,2.0,queens,40.75904445443649,-73.91998644811206,NYC,Apartment,11103,6130045,6130045,126.63104860018747
42472,2.0,1.0,1.0,1.0,queens,40.76263562510911,-73.91155963180529,NYC,Apartment,11103,7127458,7127458,116.65368302645436
42485,5.0,1.0,2.0,3.0,queens,40.762811254860274,-73.91580303996194,NYC,Apartment,11103,13732992,13732992,157.0090600077033
42760,4.0,1.0,2.0,3.0,astoria,40.75686709842221,-73.91596861264284,NYC,House,11103,13997552,13997552,160.45104019894234
43028,8.0,2.0,3.0,4.0,queens,40.769234232359466,-73.91202694588723,NYC,Apartment,11103,9674453,9674453,231.31825633390451
43393,4.0,1.0,1.0,2.0,queens,40.755347250562366,-73.91397281526466,NYC,Apartment,11103,8167145,8167145,134.22345879437466
43751,2.0,1.0,1.0,1.0,queens,40.7567065927982,-73.9183071915894,NYC,Apartment,11103,686373,686373,116.65368302645436
43929,5.0,1.0,0.0,2.0,queens,40.762811528334545,-73.90546024782013,NYC,Apartment,11103,11060749,11060749,125.59208697775408
44137,4.0,1.0,2.0,2.0,queens,40.76606154645268,-73.91478499077856,NYC,Apartment,11103,15432264,15432264,150.07544648573585
44279,2.0,1.0,1.0,1.0,queens,40.76177454037065,-73.91358796757815,NYC,Apartment,11103,4109420,4109420,116.65368302645436
44349,2.0,1.0,1.0,1.0,queens,40.76821778696552,-73.91607539369906,NYC,Apartment,11103,18117857,18117857,116.65368302645436
